transaction_id,transaction_time,transaction_amount,merchant,category,user_age,user_gender,user_city,device_type,is_international,previous_fraud_flag,transaction_frequency,account_balance,fraud_risk_score,is_fraud
T1016,2024-01-01 00:16:00,92272,Flipkart,Transport,64,Male,Delhi,Mobile,0,0,31,59402,0.44658800000000004,0
T1017,2024-01-01 00:17:00,84473,Croma,Transport,27,Female,Delhi,Mobile,1,1,9,63981,0.860392,1
T1018,2024-01-01 00:18:00,41849,Zomato,Luxury,54,Male,Bhopal,Mobile,0,0,32,96103,0.247396,0
T1019,2024-01-01 00:19:00,99163,Amazon,Transport,31,Male,Pune,Laptop,1,0,34,88562,0.781652,1
T1020,2024-01-01 00:20:00,45659,Flipkart,Electronics,51,Female,Mumbai,Mobile,0,0,4,83149,0.19263600000000003,0
T1021,2024-01-01 00:21:00,21660,Zomato,Food,40,Male,Bhopal,Mobile,0,0,31,69080,0.16414,0
T1022,2024-01-01 00:22:00,52676,Croma,Shopping,33,Female,Delhi,Mobile,0,0,8,43490,0.23070400000000002,0
T1023,2024-01-01 00:23:00,15219,Zomato,Food,39,Female,Pune,Laptop,0,0,10,39327,0.08587600000000001,0
T1024,2024-01-01 00:24:00,21339,Amazon,Transport,37,Male,Indore,Mobile,0,0,36,51946,0.175356,0
T1025,2024-01-01 00:25:00,21842,Croma,Luxury,53,Female,Bhopal,Mobile,0,0,10,5926,0.112368,0
T1026,2024-01-01 00:26:00,34221,Zomato,Shopping,61,Male,Bhopal,Laptop,1,0,13,95383,0.469384,0
T1027,2024-01-01 00:27:00,87076,Amazon,Shopping,20,Female,Delhi,Mobile,0,0,37,36733,0.44080400000000003,0
T1028,2024-01-01 00:28:00,77893,Flipkart,Food,18,Female,Mumbai,Laptop,0,0,39,39263,0.409072,0
T1029,2024-01-01 00:29:00,12194,Croma,Luxury,38,Female,Indore,Laptop,0,0,37,24574,0.141276,0
T1030,2024-01-01 00:30:00,8820,Swiggy,Food,23,Male,Bhopal,Laptop,1,1,24,44515,0.59528,0
T1031,2024-01-01 00:31:00,54548,Zomato,Food,24,Male,Mumbai,Laptop,0,0,18,97033,0.263192,0
T1032,2024-01-01 00:32:00,41410,Croma,Food,63,Female,Bhopal,Mobile,0,0,39,77486,0.26314000000000004,0
T1033,2024-01-01 00:33:00,69219,Zomato,Transport,58,Female,Delhi,Laptop,0,0,1,27220,0.279376,0
T1034,2024-01-01 00:34:00,74757,Croma,Transport,34,Female,Indore,Laptop,0,0,20,86774,0.349028,0
T1035,2024-01-01 00:35:00,90129,Amazon,Shopping,52,Female,Bhopal,Mobile,0,0,2,94126,0.36551600000000006,0
T1036,2024-01-01 00:36:00,1756,Flipkart,Luxury,32,Female,Indore,Mobile,0,0,18,72927,0.05202400000000001,0
T1037,2024-01-01 00:37:00,98292,Zomato,Food,26,Male,Bhopal,Laptop,0,0,24,16707,0.453168,0
T1038,2024-01-01 00:38:00,40712,Swiggy,Transport,55,Male,Delhi,Mobile,0,0,9,42053,0.18534799999999998,0
T1039,2024-01-01 00:39:00,57326,Amazon,Shopping,48,Female,Indore,Mobile,0,0,8,54650,0.24930400000000003,0
T1040,2024-01-01 00:40:00,30863,Zomato,Electronics,29,Male,Delhi,Laptop,0,0,23,23198,0.180952,0
T1041,2024-01-01 00:41:00,48846,Croma,Shopping,29,Male,Mumbai,Mobile,0,0,2,28038,0.200384,0
T1042,2024-01-01 00:42:00,1583,Unknown,Food,38,Female,Delhi,Laptop,0,1,34,53887,0.29133200000000004,0
T1043,2024-01-01 00:43:00,94486,Amazon,Transport,33,Female,Bhopal,Mobile,0,0,3,64139,0.38544400000000006,0
T1044,2024-01-01 00:44:00,191,Amazon,Food,20,Female,Bhopal,Mobile,1,0,14,25906,0.33576399999999995,0
T1045,2024-01-01 00:45:00,77654,Croma,Transport,54,Female,Indore,Laptop,1,0,3,8096,0.618116,0
T1046,2024-01-01 00:46:00,19900,Flipkart,Shopping,47,Female,Indore,Mobile,0,0,28,64574,0.1496,0
T1047,2024-01-01 00:47:00,90741,Amazon,Luxury,54,Female,Bhopal,Laptop,0,0,37,54029,0.4554640000000001,0
T1048,2024-01-01 00:48:00,38403,Swiggy,Food,18,Male,Indore,Mobile,0,0,5,54891,0.166112,0
T1049,2024-01-01 00:49:00,46790,Croma,Transport,18,Male,Mumbai,Mobile,0,0,28,10610,0.25716,0
T1050,2024-01-01 00:50:00,89475,Flipkart,Food,32,Male,Mumbai,Laptop,0,0,38,83813,0.4529000000000001,0
T1051,2024-01-01 00:51:00,86498,Zomato,Electronics,20,Female,Mumbai,Laptop,0,0,26,51420,0.410992,0
T1052,2024-01-01 00:52:00,46716,Croma,Food,52,Female,Mumbai,Mobile,0,0,18,83490,0.23186400000000004,0
T1053,2024-01-01 00:53:00,72948,Flipkart,Electronics,18,Female,Mumbai,Laptop,0,0,30,13096,0.366792,0
T1054,2024-01-01 00:54:00,75879,Flipkart,Transport,51,Male,Indore,Mobile,0,0,16,36195,0.34351600000000004,0
T1055,2024-01-01 00:55:00,82579,Croma,Transport,49,Male,Delhi,Laptop,0,0,10,73310,0.3553160000000001,0
T1056,2024-01-01 00:56:00,45970,Unknown,Food,45,Male,Delhi,Mobile,0,0,29,57187,0.25638,0
T1057,2024-01-01 00:57:00,40776,Unknown,Electronics,33,Male,Pune,Mobile,0,0,27,40053,0.23060400000000003,0
T1058,2024-01-01 00:58:00,66050,Swiggy,Shopping,53,Male,Indore,Mobile,0,0,36,29270,0.3542,0
T1059,2024-01-01 00:59:00,92939,Croma,Shopping,33,Female,Mumbai,Mobile,0,0,38,61628,0.46675600000000006,0
T1060,2024-01-01 01:00:00,63145,Flipkart,Transport,28,Male,Bhopal,Mobile,0,0,12,89588,0.28257999999999994,0
T1061,2024-01-01 01:01:00,44402,Zomato,Luxury,18,Female,Indore,Mobile,1,0,32,65558,0.5576080000000001,0
T1062,2024-01-01 01:02:00,19094,Amazon,Transport,48,Male,Bhopal,Mobile,0,0,14,67133,0.111376,0
T1063,2024-01-01 01:03:00,39653,Swiggy,Electronics,49,Female,Indore,Laptop,1,0,12,83733,0.48861200000000005,0
T1064,2024-01-01 01:04:00,39252,Flipkart,Electronics,58,Male,Delhi,Laptop,1,0,19,47926,0.504508,0
T1065,2024-01-01 01:05:00,63131,Flipkart,Shopping,52,Female,Pune,Laptop,1,0,24,59032,0.6125240000000001,0
T1066,2024-01-01 01:06:00,31202,Zomato,Shopping,41,Male,Mumbai,Laptop,0,0,24,63450,0.18480800000000003,0
T1067,2024-01-01 01:07:00,64631,Unknown,Food,37,Female,Pune,Mobile,0,0,33,26945,0.34102400000000005,0
T1068,2024-01-01 01:08:00,81236,Amazon,Transport,41,Male,Delhi,Mobile,0,0,32,25865,0.404944,0
T1069,2024-01-01 01:09:00,24411,Flipkart,Shopping,61,Female,Mumbai,Mobile,0,0,29,49305,0.17014400000000002,0
T1070,2024-01-01 01:10:00,91128,Croma,Shopping,42,Male,Delhi,Mobile,0,0,1,63311,0.367012,0
T1071,2024-01-01 01:11:00,73404,Amazon,Food,18,Female,Delhi,Laptop,1,0,22,60200,0.6486160000000001,0
T1072,2024-01-01 01:12:00,34960,Flipkart,Electronics,53,Male,Indore,Mobile,0,0,34,59814,0.22484000000000004,0
T1073,2024-01-01 01:13:00,7122,Amazon,Electronics,39,Female,Delhi,Mobile,1,0,12,42489,0.35848800000000003,0
T1074,2024-01-01 01:14:00,66601,Zomato,Shopping,55,Female,Delhi,Laptop,0,0,4,93911,0.27640400000000004,0
T1075,2024-01-01 01:15:00,87602,Swiggy,Food,20,Male,Indore,Laptop,0,1,12,67023,0.580408,0
T1076,2024-01-01 01:16:00,20902,Zomato,Shopping,57,Male,Bhopal,Laptop,0,0,1,20600,0.08610800000000002,0
T1077,2024-01-01 01:17:00,1776,Flipkart,Food,41,Female,Delhi,Laptop,0,0,2,75558,0.012104000000000002,0
T1078,2024-01-01 01:18:00,1814,Zomato,Food,51,Female,Delhi,Mobile,1,1,4,84214,0.5172559999999999,0
T1079,2024-01-01 01:19:00,37037,Zomato,Electronics,52,Female,Mumbai,Laptop,1,0,3,93325,0.455648,0
T1080,2024-01-01 01:20:00,75538,Croma,Transport,33,Male,Bhopal,Mobile,1,0,31,42312,0.679652,0
T1081,2024-01-01 01:21:00,36230,Unknown,Shopping,20,Female,Mumbai,Mobile,0,0,36,82857,0.23492000000000002,0
T1082,2024-01-01 01:22:00,24233,Unknown,Luxury,58,Male,Bhopal,Laptop,0,0,7,32400,0.114432,0
T1083,2024-01-01 01:23:00,73932,Amazon,Luxury,22,Female,Pune,Mobile,0,0,39,40225,0.393228,0
T1084,2024-01-01 01:24:00,94981,Croma,Shopping,47,Female,Bhopal,Mobile,0,0,28,26715,0.44992400000000005,0
T1085,2024-01-01 01:25:00,46530,Zomato,Luxury,18,Male,Pune,Mobile,0,0,3,21292,0.19362000000000001,0
T1086,2024-01-01 01:26:00,31578,Zomato,Electronics,53,Male,Mumbai,Laptop,0,0,14,57323,0.161312,0
T1087,2024-01-01 01:27:00,35346,Unknown,Transport,63,Female,Pune,Laptop,0,0,30,30616,0.21638400000000002,0
T1088,2024-01-01 01:28:00,3443,Croma,Electronics,35,Male,Delhi,Laptop,0,0,17,32972,0.056272,0
T1089,2024-01-01 01:29:00,16474,Flipkart,Transport,53,Female,Bhopal,Mobile,1,0,37,33931,0.458396,0
T1090,2024-01-01 01:30:00,54254,Swiggy,Transport,56,Male,Indore,Mobile,0,0,29,96859,0.289516,0
T1091,2024-01-01 01:31:00,87356,Croma,Transport,64,Male,Bhopal,Mobile,1,0,19,37171,0.696924,0
T1092,2024-01-01 01:32:00,65235,Croma,Luxury,61,Male,Mumbai,Mobile,0,0,1,55641,0.26344,0
T1093,2024-01-01 01:33:00,45424,Flipkart,Transport,52,Female,Bhopal,Mobile,0,0,9,60051,0.204196,0
T1094,2024-01-01 01:34:00,65177,Zomato,Shopping,51,Female,Mumbai,Mobile,0,0,11,38277,0.288208,0
T1095,2024-01-01 01:35:00,12346,Croma,Electronics,54,Female,Indore,Mobile,0,0,12,66227,0.07938400000000001,0
T1096,2024-01-01 01:36:00,8587,Amazon,Food,18,Male,Bhopal,Mobile,0,0,34,89169,0.11934800000000001,0
T1097,2024-01-01 01:37:00,34219,Amazon,Food,25,Male,Mumbai,Laptop,1,1,18,20260,0.681876,0
T1098,2024-01-01 01:38:00,48178,Unknown,Transport,64,Male,Pune,Mobile,0,0,11,94638,0.220212,0
T1099,2024-01-01 01:39:00,88078,Swiggy,Electronics,59,Female,Bhopal,Mobile,0,0,20,63937,0.402312,0
T1100,2024-01-01 01:40:00,72622,Croma,Shopping,58,Male,Delhi,Mobile,0,0,34,36811,0.37548800000000004,0
T1101,2024-01-01 01:41:00,68243,Zomato,Electronics,42,Male,Pune,Laptop,0,0,38,10784,0.36797199999999997,0
T1102,2024-01-01 01:42:00,52268,Amazon,Luxury,28,Male,Pune,Mobile,0,1,38,78366,0.5040720000000001,0
T1103,2024-01-01 01:43:00,54628,Unknown,Luxury,32,Male,Indore,Laptop,0,0,17,55595,0.261012,0
T1104,2024-01-01 01:44:00,15657,Flipkart,Transport,64,Female,Indore,Mobile,0,0,14,87471,0.09762799999999999,0
T1105,2024-01-01 01:45:00,57567,Flipkart,Transport,56,Female,Bhopal,Mobile,0,0,39,70765,0.32776800000000006,0
T1106,2024-01-01 01:46:00,36090,Amazon,Electronics,29,Female,Mumbai,Laptop,0,0,4,23232,0.15436000000000002,0
T1107,2024-01-01 01:47:00,91528,Zomato,Luxury,23,Female,Bhopal,Mobile,0,0,28,91825,0.436112,0
T1108,2024-01-01 01:48:00,37740,Amazon,Transport,33,Female,Indore,Mobile,1,0,3,43739,0.45846000000000003,0
T1109,2024-01-01 01:49:00,69390,Amazon,Electronics,40,Male,Bhopal,Laptop,1,0,22,66057,0.63256,0
T1110,2024-01-01 01:50:00,81195,Zomato,Transport,50,Female,Bhopal,Laptop,0,1,9,49961,0.54728,0
T1111,2024-01-01 01:51:00,8460,Croma,Food,55,Male,Pune,Mobile,0,1,32,78565,0.31384,0
T1112,2024-01-01 01:52:00,22732,Zomato,Food,19,Male,Bhopal,Mobile,0,0,16,19704,0.13092800000000002,0
T1113,2024-01-01 01:53:00,27971,Unknown,Shopping,36,Male,Bhopal,Laptop,0,0,1,12214,0.11438400000000001,0
T1114,2024-01-01 01:54:00,95117,Croma,Electronics,57,Male,Pune,Mobile,0,0,36,47961,0.47046800000000005,0
T1115,2024-01-01 01:55:00,73574,Croma,Luxury,39,Male,Bhopal,Mobile,0,0,3,70469,0.301796,0
T1116,2024-01-01 01:56:00,9972,Zomato,Electronics,49,Male,Indore,Laptop,0,0,21,73006,0.09238800000000001,0
T1117,2024-01-01 01:57:00,98827,Zomato,Luxury,28,Male,Pune,Laptop,0,0,39,9915,0.492808,0
T1118,2024-01-01 01:58:00,46514,Flipkart,Transport,56,Male,Delhi,Laptop,1,1,30,85846,0.761056,1
T1119,2024-01-01 01:59:00,22922,Croma,Shopping,21,Female,Bhopal,Mobile,0,0,35,55278,0.17918800000000001,0
T1120,2024-01-01 02:00:00,17895,Unknown,Food,28,Female,Bhopal,Laptop,0,0,5,99820,0.08408,0
T1121,2024-01-01 02:01:00,50143,Amazon,Food,63,Male,Bhopal,Laptop,0,0,8,42283,0.22057200000000005,0
T1122,2024-01-01 02:02:00,10996,Croma,Electronics,42,Male,Delhi,Laptop,0,0,21,69374,0.09648400000000001,0
T1123,2024-01-01 02:03:00,12329,Swiggy,Transport,48,Female,Bhopal,Laptop,1,0,35,49181,0.436816,0
T1124,2024-01-01 02:04:00,76186,Zomato,Food,25,Male,Pune,Laptop,1,0,11,77399,0.6322439999999999,0
T1125,2024-01-01 02:05:00,46826,Croma,Luxury,21,Female,Pune,Laptop,0,0,10,87122,0.21230400000000002,0
T1126,2024-01-01 02:06:00,46640,Croma,Food,22,Female,Pune,Mobile,0,0,20,44012,0.23656,0
T1127,2024-01-01 02:07:00,62658,Unknown,Luxury,21,Male,Mumbai,Laptop,0,0,24,11930,0.310632,0
T1128,2024-01-01 02:08:00,31861,Amazon,Luxury,18,Male,Delhi,Mobile,0,0,23,55599,0.184944,0
T1129,2024-01-01 02:09:00,97968,Croma,Shopping,53,Male,Pune,Laptop,1,0,4,75729,0.701872,1
T1130,2024-01-01 02:10:00,16253,Amazon,Transport,30,Female,Mumbai,Laptop,0,0,16,64686,0.10501200000000001,0
T1131,2024-01-01 02:11:00,40604,Flipkart,Electronics,36,Male,Indore,Mobile,0,1,14,71742,0.397416,0
T1132,2024-01-01 02:12:00,89614,Unknown,Electronics,51,Female,Delhi,Laptop,0,0,21,54054,0.41095600000000004,0
T1133,2024-01-01 02:13:00,68958,Swiggy,Transport,24,Female,Indore,Mobile,0,0,25,53793,0.338332,0
T1134,2024-01-01 02:14:00,39234,Zomato,Food,33,Male,Bhopal,Mobile,0,1,30,46911,0.43193600000000004,0
T1135,2024-01-01 02:15:00,52832,Flipkart,Transport,60,Male,Bhopal,Mobile,0,0,14,97561,0.24632800000000002,0
T1136,2024-01-01 02:16:00,63648,Swiggy,Food,36,Male,Mumbai,Mobile,0,0,14,36309,0.289592,0
T1137,2024-01-01 02:17:00,83320,Amazon,Electronics,27,Female,Mumbai,Laptop,0,0,2,43392,0.33828,0
T1138,2024-01-01 02:18:00,70257,Croma,Shopping,33,Female,Delhi,Laptop,0,0,27,82434,0.348528,0
T1139,2024-01-01 02:19:00,16647,Swiggy,Luxury,56,Male,Delhi,Mobile,0,0,1,85973,0.06908800000000001,0
T1140,2024-01-01 02:20:00,96994,Swiggy,Shopping,57,Female,Pune,Mobile,0,0,7,36335,0.40547600000000006,0
T1141,2024-01-01 02:21:00,97736,Amazon,Transport,34,Male,Mumbai,Mobile,1,0,8,9848,0.710944,1
T1142,2024-01-01 02:22:00,89028,Unknown,Luxury,30,Male,Delhi,Mobile,0,0,24,52992,0.416112,0
T1143,2024-01-01 02:23:00,31932,Flipkart,Shopping,52,Male,Pune,Laptop,1,0,38,93221,0.522728,0
T1144,2024-01-01 02:24:00,77022,Swiggy,Luxury,36,Male,Pune,Mobile,0,0,25,38870,0.37058800000000003,0
T1145,2024-01-01 02:25:00,22309,Swiggy,Food,51,Female,Bhopal,Laptop,0,0,23,41902,0.146736,0
T1146,2024-01-01 02:26:00,77081,Unknown,Transport,46,Male,Indore,Mobile,0,0,33,63257,0.39082400000000006,0
T1147,2024-01-01 02:27:00,61295,Unknown,Shopping,20,Female,Mumbai,Laptop,0,0,32,12117,0.32518,0
T1148,2024-01-01 02:28:00,5534,Flipkart,Electronics,23,Male,Pune,Laptop,1,0,32,21702,0.402136,0
T1149,2024-01-01 02:29:00,31005,Unknown,Shopping,53,Male,Mumbai,Mobile,0,0,28,17782,0.19402,0
T1150,2024-01-01 02:30:00,95082,Swiggy,Luxury,62,Female,Mumbai,Mobile,0,0,6,92245,0.395328,0
T1151,2024-01-01 02:31:00,66020,Zomato,Shopping,47,Male,Indore,Laptop,0,0,37,66014,0.35658000000000006,0
T1152,2024-01-01 02:32:00,29496,Unknown,Shopping,42,Female,Delhi,Laptop,0,0,23,25114,0.175484,0
T1153,2024-01-01 02:33:00,26402,Flipkart,Shopping,30,Female,Mumbai,Mobile,1,0,5,40019,0.418108,0
T1154,2024-01-01 02:34:00,4997,Unknown,Luxury,55,Male,Bhopal,Laptop,1,0,13,6560,0.352488,0
T1155,2024-01-01 02:35:00,87368,Unknown,Shopping,64,Male,Delhi,Laptop,0,0,39,15570,0.44697200000000004,0
T1156,2024-01-01 02:36:00,4151,Amazon,Luxury,29,Male,Delhi,Laptop,0,0,19,28741,0.064104,0
T1157,2024-01-01 02:37:00,95994,Amazon,Shopping,28,Female,Delhi,Mobile,0,0,31,32986,0.46147600000000005,0
T1158,2024-01-01 02:38:00,44693,Unknown,Electronics,27,Female,Pune,Laptop,0,0,32,12114,0.258772,0
T1159,2024-01-01 02:39:00,26131,Zomato,Luxury,25,Male,Pune,Mobile,1,0,29,78919,0.477024,0
T1160,2024-01-01 02:40:00,20043,Swiggy,Transport,55,Female,Pune,Laptop,0,0,3,78024,0.087672,0
T1161,2024-01-01 02:41:00,87915,Amazon,Transport,41,Female,Mumbai,Laptop,0,0,8,27169,0.37166000000000005,0
T1162,2024-01-01 02:42:00,34962,Croma,Food,64,Female,Indore,Laptop,1,0,28,88624,0.509848,0
T1163,2024-01-01 02:43:00,92982,Croma,Electronics,50,Female,Mumbai,Laptop,1,0,12,45173,0.7019280000000001,1
T1164,2024-01-01 02:44:00,58386,Croma,Transport,53,Male,Pune,Laptop,1,0,37,51759,0.626044,0
T1165,2024-01-01 02:45:00,28089,Unknown,Transport,38,Male,Bhopal,Laptop,0,0,13,67671,0.14485599999999998,0
T1166,2024-01-01 02:46:00,73387,Croma,Transport,56,Male,Mumbai,Mobile,0,0,32,81570,0.37354800000000005,0
T1167,2024-01-01 02:47:00,15690,Croma,Luxury,33,Female,Bhopal,Laptop,1,0,14,84321,0.39775999999999995,0
T1168,2024-01-01 02:48:00,99904,Swiggy,Transport,39,Female,Bhopal,Mobile,0,0,7,18095,0.41711600000000004,0
T1169,2024-01-01 02:49:00,85462,Croma,Transport,23,Female,Delhi,Mobile,0,0,28,57085,0.41184800000000005,0
T1170,2024-01-01 02:50:00,59469,Swiggy,Electronics,46,Male,Indore,Laptop,0,0,31,59744,0.31537600000000005,0
T1171,2024-01-01 02:51:00,23735,Croma,Luxury,61,Male,Delhi,Laptop,0,0,1,67901,0.09744000000000001,0
T1172,2024-01-01 02:52:00,67642,Flipkart,Luxury,22,Male,Bhopal,Mobile,0,0,37,36036,0.36306800000000006,0
T1173,2024-01-01 02:53:00,59458,Croma,Food,38,Male,Pune,Mobile,0,0,7,20060,0.255332,0
T1174,2024-01-01 02:54:00,82148,Amazon,Food,40,Male,Bhopal,Laptop,0,0,5,25824,0.341092,0
T1175,2024-01-01 02:55:00,35078,Unknown,Food,35,Male,Pune,Laptop,1,0,24,45778,0.500312,0
T1176,2024-01-01 02:56:00,61149,Flipkart,Transport,56,Male,Mumbai,Laptop,0,0,33,79040,0.327096,0
T1177,2024-01-01 02:57:00,76321,Swiggy,Food,38,Male,Indore,Mobile,0,0,37,74052,0.3977840000000001,0
T1178,2024-01-01 02:58:00,5970,Amazon,Food,22,Male,Mumbai,Mobile,1,0,5,58540,0.33638,0
T1179,2024-01-01 02:59:00,85787,Amazon,Luxury,19,Male,Indore,Laptop,0,0,22,9924,0.398148,0
T1180,2024-01-01 03:00:00,65287,Amazon,Electronics,19,Female,Mumbai,Mobile,1,0,18,54825,0.606148,0
T1181,2024-01-01 03:01:00,34718,Flipkart,Electronics,47,Female,Bhopal,Mobile,0,0,5,9268,0.151372,0
T1182,2024-01-01 03:02:00,82747,Flipkart,Transport,48,Male,Indore,Mobile,0,0,8,13932,0.3509880000000001,0
T1183,2024-01-01 03:03:00,78103,Zomato,Transport,24,Female,Bhopal,Mobile,0,0,26,42242,0.377412,0
T1184,2024-01-01 03:04:00,57640,Croma,Electronics,51,Male,Bhopal,Mobile,0,0,39,62676,0.32806,0
T1185,2024-01-01 03:05:00,33382,Amazon,Electronics,56,Female,Mumbai,Laptop,0,0,4,53568,0.14352800000000002,0
T1186,2024-01-01 03:06:00,2850,Swiggy,Electronics,64,Male,Indore,Laptop,0,0,26,8325,0.0764,0
T1187,2024-01-01 03:07:00,54087,Flipkart,Electronics,27,Male,Mumbai,Laptop,0,0,8,30098,0.236348,0
T1188,2024-01-01 03:08:00,53408,Zomato,Shopping,51,Male,Delhi,Laptop,0,0,36,57625,0.303632,0
T1189,2024-01-01 03:09:00,24229,Unknown,Shopping,33,Male,Bhopal,Laptop,0,0,27,11371,0.164416,0
T1190,2024-01-01 03:10:00,52479,Amazon,Food,62,Male,Mumbai,Mobile,1,0,28,35364,0.579916,0
T1191,2024-01-01 03:11:00,72285,Croma,Luxury,39,Male,Pune,Laptop,0,0,28,70556,0.35914,0
T1192,2024-01-01 03:12:00,79190,Amazon,Luxury,21,Male,Bhopal,Laptop,0,0,13,40537,0.34926,0
T1193,2024-01-01 03:13:00,45281,Amazon,Shopping,28,Female,Indore,Mobile,1,0,37,5339,0.573624,0
T1194,2024-01-01 03:14:00,34187,Amazon,Electronics,42,Male,Bhopal,Mobile,0,0,32,91511,0.21674800000000002,0
T1195,2024-01-01 03:15:00,94289,Croma,Electronics,25,Male,Bhopal,Mobile,0,0,22,76030,0.43215600000000004,0
T1196,2024-01-01 03:16:00,33344,Flipkart,Food,23,Female,Indore,Laptop,1,0,16,25312,0.473376,0
T1197,2024-01-01 03:17:00,81750,Amazon,Food,31,Female,Delhi,Mobile,0,0,7,23184,0.34450000000000003,0
T1198,2024-01-01 03:18:00,18885,Swiggy,Electronics,35,Female,Bhopal,Mobile,0,0,37,37114,0.16804000000000002,0
T1199,2024-01-01 03:19:00,25211,Swiggy,Luxury,40,Male,Delhi,Laptop,0,0,29,56015,0.173344,0
T1200,2024-01-01 03:20:00,50913,Amazon,Shopping,62,Male,Mumbai,Mobile,0,0,28,13441,0.273652,0
T1201,2024-01-01 03:21:00,26686,Swiggy,Food,20,Male,Delhi,Laptop,0,0,14,71632,0.141744,0
T1202,2024-01-01 03:22:00,85374,Swiggy,Electronics,60,Female,Indore,Laptop,0,0,28,72200,0.41149600000000003,0
T1203,2024-01-01 03:23:00,8838,Unknown,Food,50,Female,Bhopal,Mobile,0,0,38,46188,0.130352,0
T1204,2024-01-01 03:24:00,67290,Croma,Food,59,Female,Delhi,Mobile,0,0,11,92176,0.29666000000000003,0
T1205,2024-01-01 03:25:00,43549,Croma,Electronics,51,Female,Mumbai,Laptop,0,0,29,77411,0.24669600000000003,0
T1206,2024-01-01 03:26:00,7391,Amazon,Shopping,53,Female,Pune,Mobile,1,0,25,72848,0.39206399999999997,0
T1207,2024-01-01 03:27:00,17789,Amazon,Transport,62,Female,Delhi,Mobile,0,0,34,7241,0.15615600000000002,0
T1208,2024-01-01 03:28:00,49828,Amazon,Electronics,35,Male,Indore,Mobile,0,0,37,53663,0.291812,0
T1209,2024-01-01 03:29:00,45825,Croma,Food,20,Male,Delhi,Mobile,1,0,7,64226,0.5008,0
T1210,2024-01-01 03:30:00,7938,Amazon,Shopping,29,Male,Delhi,Laptop,0,0,24,20329,0.091752,0
T1211,2024-01-01 03:31:00,15169,Swiggy,Food,42,Male,Delhi,Mobile,0,0,25,89544,0.12317600000000001,0
T1212,2024-01-01 03:32:00,7373,Croma,Electronics,55,Male,Delhi,Mobile,0,0,7,49670,0.046992000000000006,0
T1213,2024-01-01 03:33:00,15333,Flipkart,Luxury,63,Female,Indore,Mobile,0,0,25,85562,0.123832,0
T1214,2024-01-01 03:34:00,97985,Croma,Transport,58,Male,Indore,Mobile,0,1,18,41161,0.6369400000000001,0
T1215,2024-01-01 03:35:00,19713,Flipkart,Electronics,51,Male,Mumbai,Mobile,0,1,8,45430,0.298852,0
T1216,2024-01-01 03:36:00,38974,Unknown,Transport,31,Female,Delhi,Mobile,0,0,23,96804,0.213396,0
T1217,2024-01-01 03:37:00,14856,Zomato,Food,63,Female,Mumbai,Laptop,0,0,29,43186,0.13192399999999999,0
T1218,2024-01-01 03:38:00,84434,Flipkart,Transport,26,Male,Mumbai,Laptop,1,0,22,49869,0.6927360000000001,0
T1219,2024-01-01 03:39:00,97054,Unknown,Electronics,26,Female,Pune,Laptop,0,0,16,18436,0.42821600000000004,0
T1220,2024-01-01 03:40:00,75599,Zomato,Luxury,43,Female,Indore,Mobile,0,0,5,36884,0.31489600000000006,0
